
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Latitude;Longitude;Speed (m/s);
14:45:06:531;-0,0010;0,0381;1,0026;-67,400;-2,177;0,056;0,00000000;0,00000000;0,00000000;
14:45:06:533;-0,0049;0,0430;0,9899;-67,437;-2,487;0,283;0,00000000;0,00000000;0,00000000;
14:45:06:534;-0,0098;0,0352;1,0085;-67,385;-1,998;0,555;0,00000000;0,00000000;0,00000000;
14:45:06:535;-0,0127;0,0195;1,0447;-67,292;-1,072;0,697;0,00000000;0,00000000;0,00000000;
14:45:06:541;-0,0088;0,0049;1,0652;-67,206;-0,263;0,473;0,00000000;0,00000000;0,00000000;
14:45:06:556;-0,0088;0,0049;1,0652;-67,032;-0,263;0,473;0,00000000;0,00000000;0,00000000;
14:45:06:557;-0,0117;0,0078;1,0564;-67,056;-0,424;0,636;0,00000000;0,00000000;0,00000000;
14:45:06:564;-0,0205;0,0254;1,0319;-67,174;-1,410;1,139;0,00000000;0,00000000;0,00000000;
14:45:06:571;-0,0254;0,0381;1,0075;-67,257;-2,166;1,445;0,00000000;0,00000000;0,00000000;
14:45:06:580;-0,0274;0,0420;1,0036;-67,282;-2,397;1,562;0,00000000;0,00000000;0,00000000;
14:45:06:590;-0,0264;0,0342;1,0183;-67,232;-1,923;1,484;0,00000000;0,00000000;0,00000000;
14:45:06:600;-0,0195;0,0195;1,0407;-67,138;-1,076;1,076;0,00000000;0,00000000;0,00000000;
14:45:06:610;-0,0147;0,0137;1,0544;-67,095;-0,743;0,796;0,00000000;0,00000000;0,00000000;
14:45:06:612;-0,0147;0,0137;1,0544;-66,487;-0,743;0,796;0,00000000;0,00000000;0,00000000;
14:45:06:620;-0,0107;0,0176;1,0486;-66,505;-0,961;0,587;0,00000000;0,00000000;0,00000000;
14:45:06:641;-0,0098;0,0332;1,0144;-66,616;-1,876;0,552;0,00000000;0,00000000;0,00000000;
14:45:06:648;-0,0107;0,0342;1,0153;-66,624;-1,929;0,607;0,00000000;0,00000000;0,00000000;
14:45:06:652;-0,0088;0,0352;1,0114;-66,629;-1,992;0,498;0,00000000;0,00000000;0,00000000;
14:45:06:665;-0,0039;0,0283;1,0222;-66,571;-1,588;0,219;0,00000000;0,00000000;0,00000000;
14:45:06:681;0,0000;0,0195;1,0398;-66,498;-1,077;-0,000;0,00000000;0,00000000;0,00000000;
14:45:06:683;0,0000;0,0195;1,0398;-66,608;-1,077;-0,000;0,00000000;0,00000000;0,00000000;
14:45:06:684;0,0029;0,0127;1,0476;-66,551;-0,695;-0,160;0,00000000;0,00000000;0,00000000;
14:45:06:709;0,0039;0,0147;1,0417;-66,563;-0,806;-0,215;0,00000000;0,00000000;0,00000000;
14:45:06:711;0,0020;0,0235;1,0280;-66,635;-1,307;-0,109;0,00000000;0,00000000;0,00000000;
14:45:06:712;0,0029;0,0303;1,0173;-66,687;-1,706;-0,165;0,00000000;0,00000000;0,00000000;
14:45:06:720;0,0059;0,0293;1,0183;-66,674;-1,649;-0,330;0,00000000;0,00000000;0,00000000;
14:45:06:730;0,0098;0,0235;1,0271;-66,619;-1,308;-0,545;0,00000000;0,00000000;0,00000000;
14:45:06:741;0,0156;0,0176;1,0398;-66,557;-0,969;-0,862;0,00000000;0,00000000;0,00000000;
14:45:06:744;0,0156;0,0176;1,0398;-66,489;-0,969;-0,862;0,00000000;0,00000000;0,00000000;
14:45:06:751;0,0205;0,0156;1,0447;-66,464;-0,857;-1,125;0,00000000;0,00000000;0,00000000;
14:45:06:760;0,0235;0,0186;1,0378;-66,479;-1,025;-1,295;0,00000000;0,00000000;0,00000000;
14:45:06:770;0,0264;0,0235;1,0280;-66,511;-1,306;-1,470;0,00000000;0,00000000;0,00000000;
14:45:06:780;0,0293;0,0283;1,0202;-66,546;-1,590;-1,646;0,00000000;0,00000000;0,00000000;
