
time;ax;ay;az;Latitude;Longitude;Speed (m/s);
03:14:05:578;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:588;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:604;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:616;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:634;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:666;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:673;-0,0021;-0,0007;0,0014;48,37163497;10,89763117;0,00000000;
03:14:05:676;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:681;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:698;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:703;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:710;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:725;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:742;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:756;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:788;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:804;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:825;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:841;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:866;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:883;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:896;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:903;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:913;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:924;-0,0057;0,0005;-0,0003;48,37163497;10,89763117;0,00000000;
03:14:05:927;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:05:928;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:05:943;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:05:960;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:05:988;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:005;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:020;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:035;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:066;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:080;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:097;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
03:14:06:102;-0,0022;-0,0015;-0,0009;48,37163497;10,89763117;0,00000000;
