
time;ax;ay;az;Latitude;Longitude;Speed (m/s);
12:03:08:378;0,0115;-0,0079;0,0082;48,35725139;10,88645434;0,00000000;
12:03:08:389;0,0115;-0,0079;0,0082;48,35725139;10,88645434;0,00000000;
12:03:08:401;0,0115;-0,0079;0,0082;48,35725139;10,88645434;0,00000000;
12:03:08:409;0,0115;-0,0079;0,0082;48,35725139;10,88645434;0,00000000;
12:03:08:410;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:417;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:435;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:465;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:480;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:483;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:485;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:496;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:529;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:545;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:547;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:565;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:572;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:574;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:604;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:607;-0,0105;0,0054;0,0054;48,35725139;10,88645434;0,00000000;
12:03:08:609;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:610;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:619;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:634;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:668;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:678;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:687;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:693;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:698;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:730;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:744;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:745;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:759;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:770;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:774;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:809;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:812;-0,0321;0,0045;-0,0144;48,35725139;10,88645434;0,00000000;
12:03:08:814;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:818;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:823;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:840;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:874;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:886;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:890;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:892;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:900;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:918;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:949;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:951;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:966;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:975;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:08:980;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:09:011;-0,0174;0,0122;0,0061;48,35725139;10,88645434;0,00000000;
12:03:09:016;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:021;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:023;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:027;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:042;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:073;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:086;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:088;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:090;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:103;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:122;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:153;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:159;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:165;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:175;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:181;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:215;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:219;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:227;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:250;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:260;0,0096;0,0053;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:261;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:263;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:292;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:296;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:301;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:306;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:325;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:351;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:353;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:372;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:376;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:383;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:419;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:421;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:430;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:451;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:460;0,0171;-0,0054;-0,0007;48,35725139;10,88645434;0,00000000;
12:03:09:461;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:464;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:491;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:495;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:500;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:509;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:531;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:558;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:561;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:569;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:589;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:616;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:619;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:643;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:648;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:659;0,0175;0,0046;0,0010;48,35725139;10,88645434;0,00000000;
12:03:09:661;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:663;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:693;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:698;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:700;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:703;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:708;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:726;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:753;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:756;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:776;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:792;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:810;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:827;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:833;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:851;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:861;0,0189;0,0029;-0,0046;48,35725139;10,88645434;0,00000000;
12:03:09:870;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:871;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:893;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:898;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:901;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:903;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:914;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:931;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:961;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:968;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:974;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:09:993;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:011;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:028;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:036;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:053;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:061;-0,0198;0,0013;-0,0000;48,35725139;10,88645434;0,00000000;
12:03:10:066;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:070;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:092;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:094;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:098;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:102;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:116;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:133;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:151;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:156;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:176;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:192;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:211;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:224;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:238;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:261;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:262;-0,0155;-0,0001;0,0015;48,35725139;10,88645434;0,00000000;
12:03:10:264;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:272;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:291;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:293;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:303;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:305;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:322;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:332;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:351;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:381;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:393;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:412;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:429;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:440;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:460;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:465;-0,0022;0,0024;-0,0026;48,35725139;10,88645434;0,00000000;
12:03:10:469;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:471;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:491;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:493;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:495;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:510;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:521;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:539;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:552;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:570;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:590;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:596;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:613;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:631;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:648;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:660;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
12:03:10:661;0,0113;0,0008;0,0004;48,35725139;10,88645434;0,00000000;
